,name,address,city,category,rating,url
1718,M.O.B.,525 Atlantic Ave,Brooklyn,Vegetarian,4.0,http://www.yelp.com/biz/m-o-b-brooklyn
1719,Sophie's Cuban Cuisine,27 Smith St,New York,Cuban,3.5,http://www.yelp.com/biz/sophies-cuban-cuisine-new-york-10
1720,Two 8 Two,282 Atlantic Ave,Brooklyn,Burgers,4.0,http://www.yelp.com/biz/two-8-two-brooklyn
1721,Side Street Deli,187 State St,Brooklyn,Delis,4.5,http://www.yelp.com/biz/side-street-deli-brooklyn
1722,El Nuevo Cibao,172 Smith St,Brooklyn,Latin American,4.0,http://www.yelp.com/biz/el-nuevo-cibao-brooklyn-2
1723,Pure Bistro,88 5th Ave,Brooklyn,Breakfast & Brunch,4.0,http://www.yelp.com/biz/pure-bistro-brooklyn
1724,BKLYN Larder,228 Flatbush Ave,Brooklyn,Cheese Shops,4.0,http://www.yelp.com/biz/bklyn-larder-brooklyn
1725,Fast and Fresh Deli,84 Hoyt St,Brooklyn,Mexican,4.0,http://www.yelp.com/biz/fast-and-fresh-deli-brooklyn
1726,Chick P,490 Bergen St,Brooklyn,Falafel,4.5,http://www.yelp.com/biz/chick-p-brooklyn
1727,Zen Vegetarian House,773 Flatbush Ave,Brooklyn,Vegetarian,4.0,http://www.yelp.com/biz/zen-vegetarian-house-brooklyn
1728,Strictly Vegetarian Restaurant,2268 Church Ave,Brooklyn,Vegetarian,4.5,http://www.yelp.com/biz/strictly-vegetarian-restaurant-brooklyn
1729,De Hot Pot,1127 Washington Ave,Brooklyn,Caribbean,4.5,http://www.yelp.com/biz/de-hot-pot-brooklyn
1730,Syd's Serious Sandwich Shop,759 Nostrand Ave,Brooklyn,Sandwiches,4.0,http://www.yelp.com/biz/syds-serious-sandwich-shop-brooklyn
1731,Exquisite Delight,2847 Church Ave,Brooklyn,Caribbean,4.5,http://www.yelp.com/biz/exquisite-delight-brooklyn
1732,Balboa Restaurant,1655 Bedford Ave,Brooklyn,Caribbean,4.0,http://www.yelp.com/biz/balboa-restaurant-brooklyn
1733,Chavela's,736 Franklin Ave,Brooklyn,Mexican,4.0,http://www.yelp.com/biz/chavelas-brooklyn-2
1734,Lincoln Station,409 Lincoln Pl,Brooklyn,American (Traditional),3.5,http://www.yelp.com/biz/lincoln-station-brooklyn
1735,Delroys Cafe and Wine Bar,65A  Fenimore St,Brooklyn,Cafes,4.5,http://www.yelp.com/biz/delroys-cafe-and-wine-bar-brooklyn
1736,Peppa's Jerk Chicken,738 Flatbush Ave,Brooklyn,Caribbean,3.5,http://www.yelp.com/biz/peppas-jerk-chicken-brooklyn
1737,Gandhi Fine Indian Cuisine,2032 Bedford Ave,Brooklyn,Indian,4.5,http://www.yelp.com/biz/gandhi-fine-indian-cuisine-brooklyn
1738,Bake & Things,184 E 35th St,Brooklyn,Caribbean,4.0,http://www.yelp.com/biz/bake-and-things-brooklyn
1739,The Terrace Cafe,Brooklyn Botanic Garden,Brooklyn,Cafes,3.5,http://www.yelp.com/biz/the-terrace-cafe-brooklyn-2
1740,Flatbush Latin Grill,1902 Church Ave,Brooklyn,Mexican,3.5,http://www.yelp.com/biz/flatbush-latin-grill-brooklyn
1741,Gloria's Caribbean Cuisine,764 Nostrand Ave,Brooklyn,Caribbean,3.5,http://www.yelp.com/biz/glorias-caribbean-cuisine-brooklyn-2
1742,Piccoli,157 A Prospect Park SW,Brooklyn,Italian,4.5,http://www.yelp.com/biz/piccoli-brooklyn
1743,Fisherman's Cove,2025 Church Ave,Brooklyn,American (Traditional),3.5,http://www.yelp.com/biz/fishermans-cove-brooklyn
1744,Dutch Boy Burger,766 Franklin Ave,Brooklyn,Burgers,3.0,http://www.yelp.com/biz/dutch-boy-burger-brooklyn
1745,Am Thai Bistro,1003 Church Ave,Brooklyn,Thai,4.0,http://www.yelp.com/biz/am-thai-bistro-brooklyn
1746,Four Seasons Bakery & Juice Bar,2281 Church Ave,Brooklyn,Vegan,4.0,http://www.yelp.com/biz/four-seasons-bakery-and-juice-bar-brooklyn
1747,TONÉ-CAFÉ Georgian Bread,265 Neptune Ave,Brooklyn,Bakeries,4.0,http://www.yelp.com/biz/ton%C3%A9-caf%C3%A9-georgian-bread-brooklyn
1748,Nargis Cafe,2818 Coney Island Ave,Brooklyn,Middle Eastern,4.0,http://www.yelp.com/biz/nargis-cafe-brooklyn
1749,Café Glechik,3159 Coney Island Ave,Brooklyn,Ukrainian,4.0,http://www.yelp.com/biz/caf%C3%A9-glechik-brooklyn-3
1750,Oceanview Cafe,290 Brighton Beach Ave,Brooklyn,Russian,4.0,http://www.yelp.com/biz/oceanview-cafe-brooklyn
1751,Beyti Turkish Kebab,414 Brighton Beach Ave,Brooklyn,Mediterranean,3.5,http://www.yelp.com/biz/beyti-turkish-kebab-brooklyn
1752,Chayhana Salom,1652 Sheepshead Bay Rd,Brooklyn,Uzbek,4.5,http://www.yelp.com/biz/chayhana-salom-brooklyn
1753,Bassett Caterers,1404 Ave X,Brooklyn,Caterers,4.5,http://www.yelp.com/biz/bassett-caterers-brooklyn
1754,Coney Island Taste,2580 Coney Island Ave,Brooklyn,Latin American,4.5,http://www.yelp.com/biz/coney-island-taste-brooklyn
1755,Tenda Asian Fusion,1734 Sheepshead Bay Rd,Brooklyn,Asian Fusion,4.0,http://www.yelp.com/biz/tenda-asian-fusion-brooklyn
1756,Gulluoglu Baklava & Cafe,231 Brighton Beach Ave,Brooklyn,Turkish,4.5,http://www.yelp.com/biz/gulluoglu-baklava-and-cafe-brooklyn
1757,Joe's of Avenue U Italian Cuisine,287 Avenue U,Brooklyn,Italian,4.0,http://www.yelp.com/biz/joes-of-avenue-u-italian-cuisine-brooklyn
1758,L&B Spumoni Gardens,2725 86th St,Brooklyn,Pizza,4.0,http://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn
1759,Tatiana Grill,3152 Brighton 6th St,Brooklyn,Russian,3.0,http://www.yelp.com/biz/tatiana-grill-brooklyn
1760,Totonno's,1524 Neptune Ave,Brooklyn,Pizza,4.0,http://www.yelp.com/biz/totonnos-brooklyn
1761,Pak Nashamen,3149 Coney Island Ave,Brooklyn,Indian,4.0,http://www.yelp.com/biz/pak-nashamen-brooklyn
1762,Jimmy's Famous Heros,1786 Sheepshead Bay Rd,Brooklyn,Delis,4.5,http://www.yelp.com/biz/jimmys-famous-heros-brooklyn-2
1763,Nathan's Famous,1310 Surf Ave,Brooklyn,American (Traditional),3.5,http://www.yelp.com/biz/nathans-famous-brooklyn
1764,Randazzo's Clam Bar,2017 Emmons Ave,Brooklyn,Seafood,3.5,http://www.yelp.com/biz/randazzos-clam-bar-brooklyn
1765,Knapp Pizza II,261 Ave X,Brooklyn,Pizza,3.5,http://www.yelp.com/biz/knapp-pizza-ii-brooklyn
1766,Oasis Cafe,2689 Coney Island Ave,New York,Cafes,3.5,http://www.yelp.com/biz/oasis-cafe-new-york
